source_text,target_text,source_lang,target_lang,source_text_ner,target_text_ner,source_text_ner_tokens,target_text_ner_tokens
Who is an American professional golfer who did not play professional golf from December 2009 to early April 2010 in an attempt to resolve marital issues?,婚姻問題を解決するために、2009年の12月から2010年の4月初にかけてプロゴルフをしなかったアメリカ人のプロゴルファーは誰ですか？,en,ja,"['O', 'O', 'O', 'B-NORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'B-DATE', 'O', 'O']","['Who', 'is', 'an', 'American', 'professional', 'golfer', 'who', 'did', 'not', 'play', 'professional', 'golf', 'from', 'December', '2009', 'to', 'early', 'April', '2010', 'in', 'an', 'attempt', 'to', 'resolve', 'marital', 'issues', '?']","['婚姻問題を解決するために', '、', '2009', '年の12月から2010年の4月初にかけてプロゴルフをしなかったアメリカ人のプロゴルファーは誰ですか', '？']"
Who is a Serbian professional tennis player who did not win the gold medal at the 2008 Beijing Olympics?,2008年の北京オリンピックで金メダルを逃したセルビア出身のプロテニス選手は？,en,ja,"['O', 'O', 'O', 'B-NORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'B-EVENT', 'I-EVENT', 'O']","['B-DATE', 'O', 'O']","['Who', 'is', 'a', 'Serbian', 'professional', 'tennis', 'player', 'who', 'did', 'not', 'win', 'the', 'gold', 'medal', 'at', 'the', '2008', 'Beijing', 'Olympics', '?']","['2008', '年の北京オリンピックで金メダルを逃したセルビア出身のプロテニス選手は', '？']"
Who is a Filipino politician regarded as one of the greatest professional boxers of all time who is not in professional boxing anymore?,史上最高のボクサーの一人とみなされている、引退したボクサーでフィリピンの政治家は誰ですか？,en,ja,"['O', 'O', 'O', 'B-NORP', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O']","['Who', 'is', 'a', 'Filipino', 'politician', 'regarded', 'as', 'one', 'of', 'the', 'greatest', 'professional', 'boxers', 'of', 'all', 'time', 'who', 'is', 'not', 'in', 'professional', 'boxing', 'anymore', '?']","['史上最高のボクサーの一人とみなされている', '、', '引退したボクサーでフィリピンの政治家は誰ですか', '？']"
Which baseball team has not appeared in a World Series?,ワールドシリーズに参加したことがない野球チームはどこですか？,en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EVENT', 'I-EVENT', 'I-EVENT', 'O']","['O', 'O']","['Which', 'baseball', 'team', 'has', 'not', 'appeared', 'in', 'a', 'World', 'Series', '?']","['ワールドシリーズに参加したことがない野球チームはどこですか', '？']"
How many years did the Red Sox not appear in a World Series?,ボストン・レッドソックスは何年ワールドシリーズに出場していませんか？,en,ja,"['O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'B-EVENT', 'I-EVENT', 'I-EVENT', 'O']","['B-GPE', 'O', 'O', 'O']","['How', 'many', 'years', 'did', 'the', 'Red', 'Sox', 'not', 'appear', 'in', 'a', 'World', 'Series', '?']","['ボストン', '・', 'レッドソックスは何年ワールドシリーズに出場していませんか', '？']"
How many of Michael Phelps gold medals are not from the Olympic Games?,マイケル・フェルプスはオリンピックゲームからゴルドメダルではないはいくつありますか？,en,ja,"['O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'B-EVENT', 'I-EVENT', 'I-EVENT', 'O']","['B-PERSON', 'I-PERSON', 'O', 'O']","['How', 'many', 'of', 'Michael', 'Phelps', 'gold', 'medals', 'are', 'not', 'from', 'the', 'Olympic', 'Games', '?']","['マイケル', '・', 'フェルプスはオリンピックゲームからゴルドメダルではないはいくつありますか', '？']"
How many times have the Seahawks lost a Super Bowl?,シアトル・シーホークスがスーパーボウルで負けたのは何回ですか？,en,ja,"['O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'B-EVENT', 'I-EVENT', 'I-EVENT', 'O']","['B-GPE', 'O', 'O', 'O']","['How', 'many', 'times', 'have', 'the', 'Seahawks', 'lost', 'a', 'Super', 'Bowl', '?']","['シアトル', '・', 'シーホークスがスーパーボウルで負けたのは何回ですか', '？']"
How many Olympic Games did Michelle Kwan compete in but not win a gold medal?,ミシェル・クワンが、オリンピックに出場しながらゴールドメダルを獲得できなかったのは何回でしたか？,en,ja,"['O', 'O', 'B-EVENT', 'I-EVENT', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O']","['How', 'many', 'Olympic', 'Games', 'did', 'Michelle', 'Kwan', 'compete', 'in', 'but', 'not', 'win', 'a', 'gold', 'medal', '?']","['ミシェル', '・', 'クワンが', '、', 'オリンピックに出場しながらゴールドメダルを獲得できなかったのは何回でしたか', '？']"
In what year did Croatia play France in the FIFA World Cup and not win?,FIFAワルドカップで勝ったなかったクロアチア対フランスが何年ですか？,en,ja,"['O', 'O', 'O', 'O', 'B-GPE', 'O', 'B-GPE', 'O', 'B-EVENT', 'I-EVENT', 'I-EVENT', 'I-EVENT', 'O', 'O', 'O', 'O']","['O', 'O']","['In', 'what', 'year', 'did', 'Croatia', 'play', 'France', 'in', 'the', 'FIFA', 'World', 'Cup', 'and', 'not', 'win', '?']","['FIFAワルドカップで勝ったなかったクロアチア対フランスが何年ですか', '？']"
What team did not win the Stanley Cup in 2021?,2021年のスタンレーカップで優勝できなかったのはどのチームですか？,en,ja,"['O', 'O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-DATE', 'O']","['B-DATE', 'O', 'O']","['What', 'team', 'did', 'not', 'win', 'the', 'Stanley', 'Cup', 'in', '2021', '?']","['2021', '年のスタンレーカップで優勝できなかったのはどのチームですか', '？']"
How many years in a row did the Texas Rangers not win the World Series?,テキサス・レンジャーズが何年連続でワールドシリーズに勝ちませんか？,en,ja,"['O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'B-EVENT', 'I-EVENT', 'I-EVENT', 'O']","['B-GPE', 'O', 'O', 'O']","['How', 'many', 'years', 'in', 'a', 'row', 'did', 'the', 'Texas', 'Rangers', 'not', 'win', 'the', 'World', 'Series', '?']","['テキサス', '・', 'レンジャーズが何年連続でワールドシリーズに勝ちませんか', '？']"
Which NBA team from a city in New York has been to the playoffs twice but has not won a championship?,"""ニューヨークにある都市の名前を冠したNBAチームで、プレーオフに2回進出しているが優勝していないチームは何のですか？""",en,ja,"['O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'I-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O']","['Which', 'NBA', 'team', 'from', 'a', 'city', 'in', 'New', 'York', 'has', 'been', 'to', 'the', 'playoffs', 'twice', 'but', 'has', 'not', 'won', 'a', 'championship', '?']","['""', 'ニューヨークにある都市の名前を冠したNBAチームで', '、', 'プレーオフに2回進出しているが優勝していないチームは何のですか', '？', '""']"
Which team owned by Michael Jordan has not ever won a championship?,マイケル・ジョーダンがオーナーで優勝を果たしたことのないチームは？,en,ja,"['O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-PERSON', 'I-PERSON', 'O', 'O']","['Which', 'team', 'owned', 'by', 'Michael', 'Jordan', 'has', 'not', 'ever', 'won', 'a', 'championship', '?']","['マイケル', '・', 'ジョーダンがオーナーで優勝を果たしたことのないチームは', '？']"
Which team joined the NBA Finals for the first time in 1976 but has not ever won a championship?,1976年に初めてNBAのファイナルに出場しながら、一度も優勝したことのないチームは何ですか？,en,ja,"['O', 'O', 'O', 'B-EVENT', 'I-EVENT', 'I-EVENT', 'O', 'O', 'B-ORDINAL', 'O', 'O', 'B-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-DATE', 'I-DATE', 'O', 'O', 'O']","['Which', 'team', 'joined', 'the', 'NBA', 'Finals', 'for', 'the', 'first', 'time', 'in', '1976', 'but', 'has', 'not', 'ever', 'won', 'a', 'championship', '?']","['1976', '年に初めてNBAのファイナルに出場しながら', '、', '一度も優勝したことのないチームは何ですか', '？']"
"Which team that had John Stockton and Karl Malone, has not ever won a championship?","""ジョン・ストックトンとカール・マローンが在籍したチームで一度も優勝できなかったチームは？""",en,ja,"['O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O']","['Which', 'team', 'that', 'had', 'John', 'Stockton', 'and', 'Karl', 'Malone', ',', 'has', 'not', 'ever', 'won', 'a', 'championship', '?']","['""', 'ジョン', '・', 'ストックトンとカール', '・', 'マローンが在籍したチームで一度も優勝できなかったチームは', '？', '""']"
Which Super Bowl did the Cincinnati Bengals not win against the San Francisco 49ers?,シンシナティ・ベンガルズがサンフランシスコ・フォーティナイナーズに勝てなかったスーパーボウルは？,en,ja,"['O', 'B-EVENT', 'I-EVENT', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O']","['B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O']","['Which', 'Super', 'Bowl', 'did', 'the', 'Cincinnati', 'Bengals', 'not', 'win', 'against', 'the', 'San', 'Francisco', '49ers', '?']","['シンシナティ', '・', 'ベンガルズがサンフランシスコ', '・', 'フォーティナイナーズに勝てなかったスーパーボウルは', '？']"
Which Super Bowl did Kurt Warner play in and not win?,カート・ワーナーが出場したが優勝しなかったのはいつのスーパーボウルでしょうか？,en,ja,"['O', 'B-EVENT', 'I-EVENT', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O']","['B-PERSON', 'O', 'O', 'O']","['Which', 'Super', 'Bowl', 'did', 'Kurt', 'Warner', 'play', 'in', 'and', 'not', 'win', '?']","['カート', '・', 'ワーナーが出場したが優勝しなかったのはいつのスーパーボウルでしょうか', '？']"
Which Super Bowl did Terry Bradshaw not win against the Pittsburg Steelers?,テリー・ブラドショーは何のピットスバーガー・スチーラーに対したが勝ったなかったスーパーボウルですか？,en,ja,"['O', 'B-EVENT', 'I-EVENT', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O']","['B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O']","['Which', 'Super', 'Bowl', 'did', 'Terry', 'Bradshaw', 'not', 'win', 'against', 'the', 'Pittsburg', 'Steelers', '?']","['テリー', '・', 'ブラドショーは何のピットスバーガー', '・', 'スチーラーに対したが勝ったなかったスーパーボウルですか', '？']"
How many NBA Finals did LeBron James attend but not win?,レブロン・ジェームズが出場したけれども優勝しなかったNBAファイナルは何回でしょうか？,en,ja,"['O', 'O', 'B-EVENT', 'I-EVENT', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O']","['B-PERSON', 'O', 'O', 'O']","['How', 'many', 'NBA', 'Finals', 'did', 'LeBron', 'James', 'attend', 'but', 'not', 'win', '?']","['レブロン', '・', 'ジェームズが出場したけれども優勝しなかったNBAファイナルは何回でしょうか', '？']"
How many NBA Finals did Michael Jordan attend but not win?,マイケル・ジョーダンが出場した決勝戦で勝たなかったのは何回？,en,ja,"['O', 'O', 'B-EVENT', 'I-EVENT', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O']","['B-PERSON', 'I-PERSON', 'O', 'O']","['How', 'many', 'NBA', 'Finals', 'did', 'Michael', 'Jordan', 'attend', 'but', 'not', 'win', '?']","['マイケル', '・', 'ジョーダンが出場した決勝戦で勝たなかったのは何回', '？']"
How many NBA Finals did Kevin Durant attend but not win?,ケビン・デュラントはNBAの決勝戦に何回出場するが、優勝しませんでしたか？,en,ja,"['O', 'O', 'B-EVENT', 'I-EVENT', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O']","['B-PERSON', 'O', 'O', 'O', 'O', 'O']","['How', 'many', 'NBA', 'Finals', 'did', 'Kevin', 'Durant', 'attend', 'but', 'not', 'win', '?']","['ケビン', '・', 'デュラントはNBAの決勝戦に何回出場するが', '、', '優勝しませんでしたか', '？']"
How many NBA Finals did Klay Thompson attend but not win?,クレイ・トンプソンが出場したNBAの決勝戦で勝たなかったのは何回？,en,ja,"['O', 'O', 'B-EVENT', 'I-EVENT', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O']","['B-PERSON', 'O', 'O', 'O']","['How', 'many', 'NBA', 'Finals', 'did', 'Klay', 'Thompson', 'attend', 'but', 'not', 'win', '?']","['クレイ', '・', 'トンプソンが出場したNBAの決勝戦で勝たなかったのは何回', '？']"
How many NBA Finals did Draymond Green attend but not win?,ドレイモンド・グリーンが出場したNBAの決勝戦で勝たなかったのは何回？,en,ja,"['O', 'O', 'B-EVENT', 'I-EVENT', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O']","['B-PERSON', 'I-PERSON', 'O', 'O']","['How', 'many', 'NBA', 'Finals', 'did', 'Draymond', 'Green', 'attend', 'but', 'not', 'win', '?']","['ドレイモンド', '・', 'グリーンが出場したNBAの決勝戦で勝たなかったのは何回', '？']"
What's the number of Olympic medals that Michael Phelps has won that aren't gold?,マイケル・フェルプスは、オリンピックで金メダル以外のメダルを何個獲得した？,en,ja,"['O', 'O', 'O', 'O', 'B-EVENT', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O']","['B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O']","[""What's"", 'the', 'number', 'of', 'Olympic', 'medals', 'that', 'Michael', 'Phelps', 'has', 'won', 'that', ""aren't"", 'gold', '?']","['マイケル', '・', 'フェルプスは', '、', 'オリンピックで金メダル以外のメダルを何個獲得した', '？']"
How many times did Michelle Kwan fail to win a gold medal at the Olympics?,ミシェル・クワンがオリンピックの金メダルを逃したのは何回ですか？,en,ja,"['O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EVENT', 'O']","['B-PERSON', 'I-PERSON', 'O', 'O']","['How', 'many', 'times', 'did', 'Michelle', 'Kwan', 'fail', 'to', 'win', 'a', 'gold', 'medal', 'at', 'the', 'Olympics', '?']","['ミシェル', '・', 'クワンがオリンピックの金メダルを逃したのは何回ですか', '？']"
Which NBA award did LeBron James not win in his career?,レブロン・ジェームスは何のNBA賞を勝ちませんか？,en,ja,"['O', 'B-ORG', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O']","['B-PERSON', 'O', 'O', 'O']","['Which', 'NBA', 'award', 'did', 'LeBron', 'James', 'not', 'win', 'in', 'his', 'career', '?']","['レブロン', '・', 'ジェームスは何のNBA賞を勝ちませんか', '？']"
"Which sports teams do not end in ""S""?","""「S」で終わらないスポーツチームの名前は？""",en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O']","['Which', 'sports', 'teams', 'do', 'not', 'end', 'in', '""', 'S', '""', '?']","['""', '「', 'S', '」', 'で終わらないスポーツチームの名前は', '？', '""']"
Which MLB teams have not won the World Series?,ワールドシリーズで優勝したことがないMLBのチームはどれでしょうか？,en,ja,"['O', 'B-ORG', 'O', 'O', 'O', 'O', 'B-EVENT', 'I-EVENT', 'I-EVENT', 'O']","['O', 'O']","['Which', 'MLB', 'teams', 'have', 'not', 'won', 'the', 'World', 'Series', '?']","['ワールドシリーズで優勝したことがないMLBのチームはどれでしょうか', '？']"
Which NHL teams have not won the Stanley Cup?,スタンレーカップを勝ったないチームは何ですか？,en,ja,"['O', 'B-ORG', 'O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O']","['B-EVENT', 'O']","['Which', 'NHL', 'teams', 'have', 'not', 'won', 'the', 'Stanley', 'Cup', '?']","['スタンレーカップを勝ったないチームは何ですか', '？']"
How many Super Bowls have the Cowboys played in and not won?,カウボーイズは出場したが優勝出来なかったスーパーボウルはいくつありますか？,en,ja,"['O', 'O', 'B-EVENT', 'I-EVENT', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O']","['How', 'many', 'Super', 'Bowls', 'have', 'the', 'Cowboys', 'played', 'in', 'and', 'not', 'won', '?']","['カウボーイズは出場したが優勝出来なかったスーパーボウルはいくつありますか', '？']"
How many Super Bowls have the Eagles played in and not won?,イーグルスがスーパーボウルに出場して優勝しなかったのは何回？,en,ja,"['O', 'O', 'B-EVENT', 'I-EVENT', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O']","['How', 'many', 'Super', 'Bowls', 'have', 'the', 'Eagles', 'played', 'in', 'and', 'not', 'won', '?']","['イーグルスがスーパーボウルに出場して優勝しなかったのは何回', '？']"
Which seasons in Clayton Kershaw's career did he not make an All-Star team?,クレイトン・カーショウのキャリアのなかでオールスターチームに選ばれなかったのはどのシーズン？,en,ja,"['O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O']","['B-PERSON', 'O', 'O', 'O']","['Which', 'seasons', 'in', 'Clayton', ""Kershaw's"", 'career', 'did', 'he', 'not', 'make', 'an', 'All', '-', 'Star', 'team', '?']","['クレイトン', '・', 'カーショウのキャリアのなかでオールスターチームに選ばれなかったのはどのシーズン', '？']"
How many eligible hitters did not bat above 200 in the 2021 MLB season?,2021年のMLBで、2割を超える打率を達成できなかった有資格打者は何人いるか？,en,ja,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'B-DATE', 'B-DATE', 'B-ORG', 'O', 'O']","['B-DATE', 'I-DATE', 'O', 'O', 'O']","['How', 'many', 'eligible', 'hitters', 'did', 'not', 'bat', 'above', '200', 'in', 'the', '2021', 'MLB', 'season', '?']","['2021', '年のMLBで', '、', '2割を超える打率を達成できなかった有資格打者は何人いるか', '？']"
Which Super Bowls have the Raiders played in but not won?,レイダーズが出場したが勝てなかったスーパーボウルはいつのですか？,en,ja,"['O', 'B-EVENT', 'I-EVENT', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O']","['Which', 'Super', 'Bowls', 'have', 'the', 'Raiders', 'played', 'in', 'but', 'not', 'won', '?']","['レイダーズが出場したが勝てなかったスーパーボウルはいつのですか', '？']"
Which Super Bowls have the Rams played in but not won?,ラムズが出場したが勝てなかったスーパーボウルはいつのですか？,en,ja,"['O', 'B-EVENT', 'I-EVENT', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O']","['Which', 'Super', 'Bowls', 'have', 'the', 'Rams', 'played', 'in', 'but', 'not', 'won', '?']","['ラムズが出場したが勝てなかったスーパーボウルはいつのですか', '？']"
How many Olympic medals does Shawn Johnson have that are not gold?,ショーン・ジョンソンが獲得したオリンピックのメダルで、金メダル以外は何個ですか？,en,ja,"['O', 'O', 'B-EVENT', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O']","['B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O']","['How', 'many', 'Olympic', 'medals', 'does', 'Shawn', 'Johnson', 'have', 'that', 'are', 'not', 'gold', '?']","['ショーン', '・', 'ジョンソンが獲得したオリンピックのメダルで', '、', '金メダル以外は何個ですか', '？']"
In what years during the 1960s did the San Francisco Giants not finish 2nd?,1960年代で、サンフランシスコ・ジャイアンツが2位で終了しなかったのは何年ですか？,en,ja,"['O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'B-ORDINAL', 'O']","['B-DATE', 'I-DATE', 'O', 'B-GPE', 'O', 'O', 'O']","['In', 'what', 'years', 'during', 'the', '1960', 's', 'did', 'the', 'San', 'Francisco', 'Giants', 'not', 'finish', '2nd', '?']","['1960', '年代で', '、', 'サンフランシスコ', '・', 'ジャイアンツが2位で終了しなかったのは何年ですか', '？']"
How many years did Willie Mays hit less than 20 home runs from his rookie year in 1951 to retirement in 1973?,ウィリー・メイズが、1951年新人時代から1973年に引退するまでに、ホームランが年間20本以下だったのは何年？,en,ja,"['O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'B-CARDINAL', 'I-CARDINAL', 'I-CARDINAL', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'O', 'B-DATE', 'O', 'O', 'O', 'B-DATE', 'O']","['B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'B-DATE', 'O', 'O', 'O', 'O']","['How', 'many', 'years', 'did', 'Willie', 'Mays', 'hit', 'less', 'than', '20', 'home', 'runs', 'from', 'his', 'rookie', 'year', 'in', '1951', 'to', 'retirement', 'in', '1973', '?']","['ウィリー', '・', 'メイズが', '、', '1951', '年新人時代から1973年に引退するまでに', '、', 'ホームランが年間20本以下だったのは何年', '？']"
Which Grand Slam did Novak Djokvic not win in 2021?,2021年にノバク・ジョコビッチが勝たなかったグランドスラムはどれですか？,en,ja,"['O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'B-DATE', 'O']","['B-DATE', 'I-DATE', 'O', 'O', 'O']","['Which', 'Grand', 'Slam', 'did', 'Novak', 'Djokvic', 'not', 'win', 'in', '2021', '?']","['2021', '年にノバク', '・', 'ジョコビッチが勝たなかったグランドスラムはどれですか', '？']"
Which international final did Lionel Messi not lose with Argentina?,リオネル・メッシがアルゼンチンチームでプレーして勝った決勝戦は、何の世界大会？,en,ja,"['O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'B-GPE', 'O']","['B-PERSON', 'O', 'O', 'O', 'O', 'O']","['Which', 'international', 'final', 'did', 'Lionel', 'Messi', 'not', 'lose', 'with', 'Argentina', '?']","['リオネル', '・', 'メッシがアルゼンチンチームでプレーして勝った決勝戦は', '、', '何の世界大会', '？']"
How many Olympic medals does Usain Bolt have that are not gold?,ウサイン・ボルトは、オリンピックで金メダル以外のメダルを何個獲得した？,en,ja,"['O', 'O', 'B-EVENT', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O']","['B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O']","['How', 'many', 'Olympic', 'medals', 'does', 'Usain', 'Bolt', 'have', 'that', 'are', 'not', 'gold', '?']","['ウサイン', '・', 'ボルトは', '、', 'オリンピックで金メダル以外のメダルを何個獲得した', '？']"
"In 1889 which baseball team in the American association did not win, losing the most games, 26?","""1889年に最多の26敗したアメリカンアソシエーションのチームはどこか？""",en,ja,"['O', 'B-DATE', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O']","['O', 'B-DATE', 'O', 'O', 'O']","['In', '1889', 'which', 'baseball', 'team', 'in', 'the', 'American', 'association', 'did', 'not', 'win', ',', 'losing', 'the', 'most', 'games', ',', '26', '?']","['""', '1889', '年に最多の26敗したアメリカンアソシエーションのチームはどこか', '？', '""']"
"Which Asia League Ice Hockey had the longest losing streak, not winning more games than any other in their league, 192 games?","""アジアリーグアイスホッケーで最多連敗し、192試合と、リーグ内で最も勝利数が少ないのはどのチームか？""",en,ja,"['O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O']","['O', 'B-ORG', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'O', 'O']","['Which', 'Asia', 'League', 'Ice', 'Hockey', 'had', 'the', 'longest', 'losing', 'streak', ',', 'not', 'winning', 'more', 'games', 'than', 'any', 'other', 'in', 'their', 'league', ',', '192', 'games', '?']","['""', 'アジアリーグアイスホッケーで最多連敗し', '、', '192', '試合と', '、', 'リーグ内で最も勝利数が少ないのはどのチームか', '？', '""']"
In which seasons did Greg Maddux not win a Gold Glove Award?,グレッグ・マダックスがゴールドグラブ賞を獲得しなかったのはいつのシーズンですか？,en,ja,"['O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O']","['B-PERSON', 'I-PERSON', 'O', 'O']","['In', 'which', 'seasons', 'did', 'Greg', 'Maddux', 'not', 'win', 'a', 'Gold', 'Glove', 'Award', '?']","['グレッグ', '・', 'マダックスがゴールドグラブ賞を獲得しなかったのはいつのシーズンですか', '？']"
In what consecutive years in the 90's did the Buffalo Bills lose the Super Bowl?,90年代で、バッフォロー・ビルズが連続でスーパーボウルで負けたのは何年ですか？,en,ja,"['O', 'O', 'B-DATE', 'I-DATE', 'O', 'B-DATE', 'I-DATE', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-EVENT', 'I-EVENT', 'I-EVENT', 'O']","['B-DATE', 'O', 'B-PERSON', 'O', 'O', 'O']","['In', 'what', 'consecutive', 'years', 'in', 'the', ""90's"", 'did', 'the', 'Buffalo', 'Bills', 'lose', 'the', 'Super', 'Bowl', '?']","['90年代で', '、', 'バッフォロー', '・', 'ビルズが連続でスーパーボウルで負けたのは何年ですか', '？']"
What year in the 90s did the Atlanta Braves not finish with a winning record?,90年代で、アトランタ・ブレーブスがウイニングレコードでシーズンを終了しなかったのはいつですか？,en,ja,"['O', 'O', 'O', 'B-DATE', 'I-DATE', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-DATE', 'O', 'B-GPE', 'O', 'O', 'O']","['What', 'year', 'in', 'the', '90s', 'did', 'the', 'Atlanta', 'Braves', 'not', 'finish', 'with', 'a', 'winning', 'record', '?']","['90年代で', '、', 'アトランタ', '・', 'ブレーブスがウイニングレコードでシーズンを終了しなかったのはいつですか', '？']"
Which Super Bowls have the Dolphins played in but not won?,ドルフィンズが出場したけれど優勝しなかったスーパーボールはどれですか?,en,ja,"['O', 'B-EVENT', 'I-EVENT', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O']","['Which', 'Super', 'Bowls', 'have', 'the', 'Dolphins', 'played', 'in', 'but', 'not', 'won', '?']","['ドルフィンズが出場したけれど優勝しなかったスーパーボールはどれですか', '?']"
